"Sarscov2" "Stringency_lag1" "mean_temp_lag1" "sin" "cos" "sin.1" "cos.1" "easter" "christmas" "linearTrend"
"2015-07-05" 0 0 15.4285714285714 1.75466621130001 -0.773478765897075 -0.252269797904512 -1.12671956913842 0 0 -1.31258876376883
"2015-07-12" 0 0 18.8857142857143 -0.254473784126413 -0.718974937437371 -1.27066014853045 -2.17947547480328 0 0 2.4594994746964
"2015-07-19" 0 0 16.2142857142857 0.109583088275503 0.986665067359437 -1.49791378894852 -0.591744192295044 0 0 2.84986510439114
"2015-07-26" 0 0 16.3571428571429 -0.864771379777402 -0.421835989911213 2.0195144231271 -1.24184269007374 0 0 3.27943859163774
"2015-08-02" 0 0 14.6714285714286 -0.426091789446838 0.565373717804897 -0.938346077461395 2.73675113096695 0 0 1.76868809325663
"2015-08-09" 0 0 13.9857142857143 -0.469406446190275 0.542062887110407 -0.890684416199068 0.443338681473157 0 0 -0.0875815382564906
"2015-08-16" 0 0 16.4714285714286 1.06806883229118 -0.121754455097161 -0.135258597584532 1.65708370745155 0 0 1.19084231410182
"2015-08-23" 0 0 15.5142857142857 -1.23784145686144 -0.0708895389509805 0.408042851317839 -0.38949411000502 0 0 0.627796834971789
"2015-08-30" 0 0 17.2142857142857 -0.668580153300841 -0.52971478088288 1.54147996482121 -0.405186209657142 0 0 1.97351819481803
"2015-09-06" 0 0 14.9714285714286 -0.1769989539117 -0.735962153711051 0.362153888675466 0.323597150987543 0 0 0.622435074785358
"2015-09-13" 0 0 12.4857142857143 -1.42681012292949 -0.337878243370588 1.58167849425436 -0.182801029781101 0 0 5.3121012094217
"2015-09-20" 0 0 13.6285714285714 -0.908620542431713 1.28226549393464 -1.45200027178167 0.635181039218199 0 0 2.99017930860295
"2015-09-27" 0 0 12.7857142857143 0.728478955525882 -1.07558139972206 -0.527885113974022 0.301424061571788 0 0 1.85528597531788
"2015-10-04" 0 0 11.9857142857143 -0.357281898937992 1.26325633981024 -0.0320797445496619 2.32708254380346 0 0 3.60729340598126
"2015-10-11" 0 0 11.5285714285714 -1.78083192420158 1.04106374604601 0.225522299557823 -0.442143778152317 0 0 2.96062131141764
"2015-10-18" 0 0 12.4285714285714 0.421349444740399 1.24466551899431 -2.36490312566876 0.783942786155889 0 0 0.992226678642196
"2015-10-25" 0 0 9.57142857142857 0.473583113835939 -0.348460455070483 -0.000153573863545198 0.698262761613146 0 0 2.4157718549649
"2015-11-01" 0 0 10.1714285714286 0.214162229024007 -1.06263418946584 0.354855860712841 0.0135461379051236 0 0 1.25182485246418
"2015-11-08" 0 0 11.8428571428571 0.277217475549123 -0.497091404792161 -1.09563223444207 1.99473839110969 0 0 1.32770946214544
"2015-11-15" 0 0 11.6714285714286 0.84162025903916 0.901251433609078 1.94183065138422 -0.137504613349877 0 0 3.26252797676001
