"norovirus" "campylobacter"
"2015-07-05" -55.1160038228369 478.258957049741
"2015-07-12" -37.3990127621106 -618.955725555157
"2015-07-19" -181.836579291641 -809
"2015-07-26" 7.94109236351837 -1678.99567543815
"2015-08-02" -24.4914021957743 620.114429822187
"2015-08-09" -37.5179819331219 113.736935787141
"2015-08-16" -180.345779805247 726.99999999998
"2015-08-23" -27.2763457503877 -1417.47853626469
"2015-08-30" -265.661952723958 -765.551605094188
"2015-09-06" -54.1640874485739 -1047.56406664652
"2015-09-13" -280.991819750212 -1386.22400509648
"2015-09-20" -153.464914437626 -51.232853958189
"2015-09-27" -19.7339860918579 -476.690323139477
"2015-10-04" -141.382185402879 885.000000000002
"2015-10-11" 42.0616546618128 -1079.84818772277
"2015-10-18" 139.547551014837 423.677983584704
"2015-10-25" -198.157708674901 286.784009057807
"2015-11-01" -152.514640946413 -498.73400835031
"2015-11-08" 179.232534250894 -664.595211708165
"2015-11-15" -198.601653978104 756.635505836776
"2015-11-22" 16.2515179580006 -781.000000000005
"2015-11-29" -72.55141945536 251.605170613402
"2015-12-06" -48 1029.75213777688
"2015-12-13" 34.5106121849547 -914.908631341023
"2015-12-20" -116.065901675516 740.405666976173
"2015-12-27" -76.8139432503831 -532.623839484832
"2016-01-03" -225 1007.11919554036
"2016-01-10" -7.51415191386693 820.714034406004
"2016-01-17" 14.5102838910721 -1370.86726090081
"2016-01-24" -172.690094380861 647.507861704925
"2016-01-31" -92.4502525473296 -606.276042051196
"2016-02-07" 34.7762153156203 232.231317557044
"2016-02-14" 6.40410674477295 62.2479175591945
"2016-02-21" -37.5034043352375 1115
"2016-02-28" -68.8591390825458 -595.543688654732
"2016-03-06" -47.2562719193942 848.570703360992
"2016-03-13" 106.81741835822 1421.61457290926
"2016-03-20" -198.500683629865 556.445859671662
"2016-03-27" 74.8730648779319 -944.032230091663
"2016-04-03" -15.5671155835492 2594.30566254528
"2016-04-10" 76.9602142687279 -638.058299698176
"2016-04-17" -119.815490689648 -387.494958174299
"2016-04-24" -12.1516127792728 -306.293517427667
"2016-05-01" -135.350838330622 1048.08297916399
"2016-05-08" 193.704726457488 90.0844348764792
"2016-05-15" -29.57061782285 -1687.72399712122
"2016-05-22" -167 1038.14500943101
"2016-05-29" -101.305345446157 610.907837870627
"2016-06-05" 428.006805669942 -905.970241654678
"2016-06-12" 7.59954000379715 83.1679995921463
"2016-06-19" 299.739781888729 530.123395547897
"2016-06-26" 47 -827.673924511764
"2016-07-03" 139 1044.00000000001
"2016-07-10" -28.9443844131878 1315.54988262271
"2016-07-17" 139.155694294172 -423.700289619296
"2016-07-24" 87.9463987939168 723.578265453969
"2016-07-31" -67.758403507771 -1233.767597204
"2016-08-07" -95.1113999080043 -1394.99999999999
"2016-08-14" -223.762356425029 447.755205720773
"2016-08-21" 104.46087207448 353.83632988554
"2016-08-28" -13.4634513155021 1747.13188181989
"2016-09-04" -93.3224247411722 223.309148386355
"2016-09-11" 112.064873408849 1594.56163248013
"2016-09-18" -15.1463827299399 -643.095782052293
"2016-09-25" -8.45342090310029 -1393.83070985006
"2016-10-02" -40.8110868001158 1140.06254777422
"2016-10-09" -247.14051306645 707.331649206449
"2016-10-16" 209.104228243892 -1132.07950760786
"2016-10-23" -74 180.737655486209
"2016-10-30" -33.1425433660238 1109.40303056794
"2016-11-06" 284.887810714063 -1425.74974047601
"2016-11-13" -72.3902920889468 836.980319190457
"2016-11-20" -175 1408.25562625703
"2016-11-27" 38.9493611534947 -1528.40285179298
"2016-12-04" 228 1123.34909248388
"2016-12-11" -340.147155598666 -92.2191371247413
"2016-12-18" -75.1166250817399 -467.811552648169
"2016-12-25" -111.343688317652 -1024.99999999999
"2017-01-01" -15.9675728169659 155.24574356997
"2017-01-08" 190.863927199737 1177.35626039176
"2017-01-15" -87.5212711975376 -810.872512748109
"2017-01-22" 98.5630814318795 -522.950631434221
"2017-01-29" 43 -1603.87905035641
"2017-02-05" 13.8328705687092 -442.633822648787
"2017-02-12" -3.50091168714267 1120.74126908791
"2017-02-19" -139 -283.470060508713
"2017-02-26" 85.1149945620447 662.249356788513
"2017-03-05" 152 -863.999999999999
"2017-03-12" 9.22191371247305 1361.83991299271
"2017-03-19" 159.970590451853 511.999999999998
"2017-03-26" 113 -1451.67220287681
"2017-04-02" -116.082271128576 -59.9424391310867
"2017-04-09" -162.533850935593 1061.37009143273
"2017-04-16" 74.4697150888712 453.608214945872
"2017-04-23" 33.5301493729267 -634.970023073324
"2017-04-30" 111.51903910654 144.794059684303
"2017-05-07" 217.378850829214 -208.268920355756
"2017-05-14" 21.2171584410163 393.805950978434
"2017-05-21" 111.073473352893 -56.4415274439455
"2017-05-28" 222.403909429896 761.40632522469
"2017-06-04" -220.214811400256 1501.9295348066
"2017-06-11" 77.623325252003 1146.30213884474
"2017-06-18" 25.664704070176 -1444.3756652953
"2017-06-25" 6.3729779790625 836.964113193438
"2017-07-02" -13.0008750772875 572.285596663883
"2017-07-09" -123.803628453883 1672.87202594656
"2017-07-16" -79.0156245389575 -631.393370158534
"2017-07-23" 144.02064032392 1027.98492472974
"2017-07-30" 121.171061839519 -589.690679429625
"2017-08-06" 4.8434632640875 131.839210852431
"2017-08-13" -44.7795268234036 -115.280801888988
"2017-08-20" -25.792422594559 -1078.0048315896
"2017-08-27" -46.7013467506481 -1418.58324270075
"2017-09-03" -74.2926535222885 -634.069184923657
"2017-09-10" 4.588544144925 976.832857103854
"2017-09-17" 94.1423424701404 1175.91340653247
"2017-09-24" 12.2457010978872 -1315.23566831485
"2017-10-01" 95.9910716360089 691.999999999993
"2017-10-08" 84.1370076109268 962.677767957942
"2017-10-15" -38.7761861163401 -463.528615496313
"2017-10-22" 93.1678048231852 677.051093107172
"2017-10-29" 10.9615221239876 -308.452134186613
"2017-11-05" 37.4452239712403 74.5438025091589
"2017-11-12" -161.351855860905 1147.77860709702
"2017-11-19" 40.2394384226172 729.000000000002
"2017-11-26" -103.963798222667 -636.000000000009
"2017-12-03" -118.004028761458 858.929103784573
"2017-12-10" 161.351855860905 -1144.90357770109
"2017-12-17" -147.056856780837 -1033
"2017-12-24" -14.785308911425 1948.61752701894
"2017-12-31" -5.20867348574854 -1353.49030008394
"2018-01-07" -203.760138497016 1313.72435935916
"2018-01-14" 291.67205309298 -56.3561393539934
"2018-01-21" 3.15935932742125 75.226907228611
