"Sarscov2" "Stringency_lag1" "mean_temp_lag1" "sin" "cos" "sin.1" "cos.1" "christmas" "easter" "linearTrend"
"2015-07-05" 0 0 15.4285714285714 -0.30909666057666 0.123370076273996 -1.27155492791391 -2.34665522486836 0 0 1.25118547282824
"2015-07-12" 0 0 18.8857142857143 0.0209406033880427 0.144173100338845 1.28824647773296 -0.368181964533337 0 0 0.864062930491561
"2015-07-19" 0 0 16.2142857142857 -0.587742720132841 -1.64017200104764 0.251769913288284 0.437797144593728 0 0 2.11698391998149
"2015-07-26" 0 0 16.3571428571429 -1.04014386904157 0.830411821642598 -2.60817992254899 -0.943570444866354 0 0 0.918733136493378
"2015-08-02" 0 0 14.6714285714286 -1.12128190981796 0.31365032266274 0.768512439157638 -0.396541914066191 0 0 2.29189625084768
"2015-08-09" 0 0 13.9857142857143 -1.05309903748627 -0.0389436433028154 -0.610319601818412 0.189919882090787 0 0 4.08747147448299
"2015-08-16" 0 0 16.4714285714286 -0.468008040254778 -0.287588020593377 0.462717360847275 -1.01327724990655 0 0 3.36359843441519
"2015-08-23" 0 0 15.5142857142857 0.00646650789512504 1.09922435161304 -0.680301566671821 0.0890168645482043 0 0 2.26077898816299
"2015-08-30" 0 0 17.2142857142857 -0.362209308769429 0.383870896224664 0.338696992277272 -1.50508162629203 0 0 4.28008942025957
"2015-09-06" 0 0 14.9714285714286 -0.73780132761762 -0.698101502318304 1.05618593848324 -0.320608405252065 0 0 0.976743512426992
"2015-09-13" 0 0 12.4857142857143 -1.02648096506365 -0.675965278412524 1.14352408973222 0.065412133041745 0 0 1.09135532427522
"2015-09-20" 0 0 13.6285714285714 -1.40951120990295 -0.831808202005672 0.0722995723720685 -0.628736885366881 0 0 2.51408416473116
"2015-09-27" 0 0 12.7857142857143 -0.913888308141487 0.0350607671748887 0.778847392868444 -0.54391660056286 0 0 2.78459097424109
"2015-10-04" 0 0 11.9857142857143 -0.85511716870105 -0.258103717866426 0.397468057353323 -2.33562892466074 0 0 2.10126912645271
"2015-10-11" 0 0 11.5285714285714 0.231174183042387 -0.322310396762221 -0.426055608247107 1.05428131156155 0 0 1.71401533422059
"2015-10-18" 0 0 12.4285714285714 1.04765255465057 -0.574028079899229 -0.150736925979768 -1.12979247046457 0 0 1.22323018295252
